"","Survived","Pclass","Sex","Age","SibSp","Parch"
"245","Dead","3ª class","male",30,0,0
"246","Dead","1ª class","male",44,2,0
"247","Dead","3ª class","female",25,0,0
"248","Survived","2ª class","female",24,0,2
"249","Survived","1ª class","male",37,1,1
"250","Dead","2ª class","male",54,1,0
"251","Dead","3ª class","male",35,0,0
"252","Dead","3ª class","female",29,1,1
"253","Dead","1ª class","male",62,0,0
"254","Dead","3ª class","male",30,1,0
"255","Dead","3ª class","female",41,0,2
"256","Survived","3ª class","female",29,0,2
"257","Survived","1ª class","female",55,0,0
"258","Survived","1ª class","female",30,0,0
"259","Survived","1ª class","female",35,0,0
"260","Survived","2ª class","female",50,0,1
"261","Dead","3ª class","male",35,0,0
"262","Survived","3ª class","male",3,4,2
"263","Dead","1ª class","male",52,1,1
"264","Dead","1ª class","male",40,0,0
"265","Dead","3ª class","female",35,0,0
"266","Dead","2ª class","male",36,0,0
"267","Dead","3ª class","male",16,4,1
"268","Survived","3ª class","male",25,1,0
"269","Survived","1ª class","female",58,0,1
"270","Survived","1ª class","female",35,0,0
"271","Dead","1ª class","male",35,0,0
"272","Survived","3ª class","male",25,0,0
"273","Survived","2ª class","female",41,0,1
"274","Dead","1ª class","male",37,0,1
"275","Survived","3ª class","female",55,0,0
"276","Survived","1ª class","female",63,1,0
"277","Dead","3ª class","female",45,0,0
"278","Dead","2ª class","male",35,0,0
"279","Dead","3ª class","male",7,4,1
"280","Survived","3ª class","female",35,1,1
"281","Dead","3ª class","male",65,0,0
"282","Dead","3ª class","male",28,0,0
"283","Dead","3ª class","male",16,0,0
"284","Survived","3ª class","male",19,0,0
"285","Dead","1ª class","male",35,0,0
"286","Dead","3ª class","male",33,0,0
"287","Survived","3ª class","male",30,0,0
"288","Dead","3ª class","male",22,0,0
"289","Survived","2ª class","male",42,0,0
"290","Survived","3ª class","female",22,0,0
"291","Survived","1ª class","female",26,0,0
"292","Survived","1ª class","female",19,1,0
"293","Dead","2ª class","male",36,0,0
"294","Dead","3ª class","female",24,0,0
"295","Dead","3ª class","male",24,0,0
"296","Dead","1ª class","male",35,0,0
"297","Dead","3ª class","male",23.5,0,0
"298","Dead","1ª class","female",2,1,2
"299","Survived","1ª class","male",55,0,0
"300","Survived","1ª class","female",50,0,1
"301","Survived","3ª class","female",55,0,0
"302","Survived","3ª class","male",50,2,0
"303","Dead","3ª class","male",19,0,0
"304","Survived","2ª class","female",55,0,0
"305","Dead","3ª class","male",35,0,0
"306","Survived","1ª class","male",0.92,1,2
"307","Survived","1ª class","female",55,0,0
"308","Survived","1ª class","female",17,1,0
"309","Dead","2ª class","male",30,1,0
"310","Survived","1ª class","female",30,0,0
"311","Survived","1ª class","female",24,0,0
"312","Survived","1ª class","female",18,2,2
"313","Dead","2ª class","female",26,1,1
"314","Dead","3ª class","male",28,0,0
"315","Dead","2ª class","male",43,1,1
"316","Survived","3ª class","female",26,0,0
"317","Survived","2ª class","female",24,1,0
"318","Dead","2ª class","male",54,0,0
"319","Survived","1ª class","female",31,0,2
"320","Survived","1ª class","female",40,1,1
"321","Dead","3ª class","male",22,0,0
"322","Dead","3ª class","male",27,0,0
"323","Survived","2ª class","female",30,0,0
"324","Survived","2ª class","female",22,1,1
"325","Dead","3ª class","male",11,8,2
"326","Survived","1ª class","female",36,0,0
"327","Dead","3ª class","male",61,0,0
"328","Survived","2ª class","female",36,0,0
"329","Survived","3ª class","female",31,1,1
"330","Survived","1ª class","female",16,0,1
"331","Survived","3ª class","female",50,2,0
"332","Dead","1ª class","male",45.5,0,0
"333","Dead","1ª class","male",38,0,1
"334","Dead","3ª class","male",16,2,0
"335","Survived","1ª class","female",35,1,0
"336","Dead","3ª class","male",35,0,0
"337","Dead","1ª class","male",29,1,0
"338","Survived","1ª class","female",41,0,0
"339","Survived","3ª class","male",45,0,0
"340","Dead","1ª class","male",45,0,0
"341","Survived","2ª class","male",2,1,1
"342","Survived","1ª class","female",24,3,2
"343","Dead","2ª class","male",28,0,0
"344","Dead","2ª class","male",25,0,0
"345","Dead","2ª class","male",36,0,0
"346","Survived","2ª class","female",24,0,0
"347","Survived","2ª class","female",40,0,0
"348","Survived","3ª class","female",35,1,0
"349","Survived","3ª class","male",3,1,1
"350","Dead","3ª class","male",42,0,0
"351","Dead","3ª class","male",23,0,0
"352","Dead","1ª class","male",35,0,0
"353","Dead","3ª class","male",15,1,1
"354","Dead","3ª class","male",25,1,0
"355","Dead","3ª class","male",35,0,0
"356","Dead","3ª class","male",28,0,0
"357","Survived","1ª class","female",22,0,1
"358","Dead","2ª class","female",38,0,0
"359","Survived","3ª class","female",55,0,0
"360","Survived","3ª class","female",55,0,0
"361","Dead","3ª class","male",40,1,4
"362","Dead","2ª class","male",29,1,0
"363","Dead","3ª class","female",45,0,1
"364","Dead","3ª class","male",35,0,0
"365","Dead","3ª class","male",28,1,0
"366","Dead","3ª class","male",30,0,0
"367","Survived","1ª class","female",60,1,0
"368","Survived","3ª class","female",55,0,0
"369","Survived","3ª class","female",55,0,0
"370","Survived","1ª class","female",24,0,0
"371","Survived","1ª class","male",25,1,0
"372","Dead","3ª class","male",18,1,0
"373","Dead","3ª class","male",19,0,0
"374","Dead","1ª class","male",22,0,0
"375","Dead","3ª class","female",3,3,1
"376","Survived","1ª class","female",35,1,0
"377","Survived","3ª class","female",22,0,0
"378","Dead","1ª class","male",27,0,2
"379","Dead","3ª class","male",20,0,0
"380","Dead","3ª class","male",19,0,0
"381","Survived","1ª class","female",42,0,0
"382","Survived","3ª class","female",1,0,2
"383","Dead","3ª class","male",32,0,0
"384","Survived","1ª class","female",35,1,0
"385","Dead","3ª class","male",35,0,0
"386","Dead","2ª class","male",18,0,0
"387","Dead","3ª class","male",1,5,2
"388","Survived","2ª class","female",36,0,0
"389","Dead","3ª class","male",35,0,0
"390","Survived","2ª class","female",17,0,0
"391","Survived","1ª class","male",36,1,2
"392","Survived","3ª class","male",21,0,0
"393","Dead","3ª class","male",28,2,0
"394","Survived","1ª class","female",23,1,0
"395","Survived","3ª class","female",24,0,2
"396","Dead","3ª class","male",22,0,0
"397","Dead","3ª class","female",31,0,0
"398","Dead","2ª class","male",46,0,0
"399","Dead","2ª class","male",23,0,0
"400","Survived","2ª class","female",28,0,0
"401","Survived","3ª class","male",39,0,0
"402","Dead","3ª class","male",26,0,0
"403","Dead","3ª class","female",21,1,0
"404","Dead","3ª class","male",28,1,0
"405","Dead","3ª class","female",20,0,0
"406","Dead","2ª class","male",34,1,0
"407","Dead","3ª class","male",51,0,0
"408","Survived","2ª class","male",3,1,1
"409","Dead","3ª class","male",21,0,0
"410","Dead","3ª class","female",3,3,1
"411","Dead","3ª class","male",35,0,0
"412","Dead","3ª class","male",35,0,0
"413","Survived","1ª class","female",33,1,0
"414","Dead","2ª class","male",35,0,0
"415","Survived","3ª class","male",44,0,0
"416","Dead","3ª class","female",35,0,0
"417","Survived","2ª class","female",34,1,1
"418","Survived","2ª class","female",18,0,2
"419","Dead","2ª class","male",30,0,0
"420","Dead","3ª class","female",10,0,2
"421","Dead","3ª class","male",35,0,0
"422","Dead","3ª class","male",21,0,0
"423","Dead","3ª class","male",29,0,0
"424","Dead","3ª class","female",28,1,1
"425","Dead","3ª class","male",18,1,1
"426","Dead","3ª class","male",35,0,0
"427","Survived","2ª class","female",28,1,0
"428","Survived","2ª class","female",19,0,0
"429","Dead","3ª class","male",35,0,0
"430","Survived","3ª class","male",32,0,0
"431","Survived","1ª class","male",28,0,0
"432","Survived","3ª class","female",35,1,0
"433","Survived","2ª class","female",42,1,0
"434","Dead","3ª class","male",17,0,0
"435","Dead","1ª class","male",50,1,0
"436","Survived","1ª class","female",14,1,2
"437","Dead","3ª class","female",21,2,2
"438","Survived","2ª class","female",24,2,3
"439","Dead","1ª class","male",64,1,4
"440","Dead","2ª class","male",31,0,0
"441","Survived","2ª class","female",45,1,1
"442","Dead","3ª class","male",20,0,0
"443","Dead","3ª class","male",25,1,0
"444","Survived","2ª class","female",28,0,0
"445","Survived","3ª class","male",55,0,0
"446","Survived","1ª class","male",4,0,2
"447","Survived","2ª class","female",13,0,1
"448","Survived","1ª class","male",34,0,0
"449","Survived","3ª class","female",5,2,1
"450","Survived","1ª class","male",52,0,0
"451","Dead","2ª class","male",36,1,2
"452","Dead","3ª class","male",28,1,0
"453","Dead","1ª class","male",30,0,0
"454","Survived","1ª class","male",49,1,0
"455","Dead","3ª class","male",35,0,0
"456","Survived","3ª class","male",29,0,0
"457","Dead","1ª class","male",65,0,0
"458","Survived","1ª class","female",35,1,0
"459","Survived","2ª class","female",50,0,0
"460","Dead","3ª class","male",35,0,0
"461","Survived","1ª class","male",48,0,0
"462","Dead","3ª class","male",34,0,0
"463","Dead","1ª class","male",47,0,0
"464","Dead","2ª class","male",48,0,0
"465","Dead","3ª class","male",35,0,0
"466","Dead","3ª class","male",38,0,0
"467","Dead","2ª class","male",35,0,0
"468","Dead","1ª class","male",56,0,0
"469","Dead","3ª class","male",35,0,0
"470","Survived","3ª class","female",0.75,2,1
"471","Dead","3ª class","male",35,0,0
"472","Dead","3ª class","male",38,0,0
"473","Survived","2ª class","female",33,1,2
"474","Survived","2ª class","female",23,0,0
"475","Dead","3ª class","female",22,0,0
"476","Dead","1ª class","male",35,0,0
"477","Dead","2ª class","male",34,1,0
"478","Dead","3ª class","male",29,1,0
"479","Dead","3ª class","male",22,0,0
"480","Survived","3ª class","female",2,0,1
"481","Dead","3ª class","male",9,5,2
"482","Dead","2ª class","male",35,0,0
"483","Dead","3ª class","male",50,0,0
"484","Survived","3ª class","female",63,0,0
"485","Survived","1ª class","male",25,1,0
"486","Dead","3ª class","female",3,3,1
"487","Survived","1ª class","female",35,1,0
"488","Dead","1ª class","male",58,0,0
"489","Dead","3ª class","male",30,0,0
"490","Survived","3ª class","male",9,1,1
"491","Dead","3ª class","male",28,1,0
"492","Dead","3ª class","male",21,0,0
"493","Dead","1ª class","male",55,0,0
"494","Dead","1ª class","male",71,0,0
"495","Dead","3ª class","male",21,0,0
"496","Dead","3ª class","male",35,0,0
"497","Survived","1ª class","female",54,1,0
"498","Dead","3ª class","male",35,0,0
"499","Dead","1ª class","female",25,1,2
"500","Dead","3ª class","male",24,0,0
"501","Dead","3ª class","male",17,0,0
"502","Dead","3ª class","female",21,0,0
"503","Dead","3ª class","female",35,0,0
"504","Dead","3ª class","female",37,0,0
"505","Survived","1ª class","female",16,0,0
"506","Dead","1ª class","male",18,1,0
"507","Survived","2ª class","female",33,0,2
"508","Survived","1ª class","male",55,0,0
"509","Dead","3ª class","male",28,0,0
"510","Survived","3ª class","male",26,0,0
"511","Survived","3ª class","male",29,0,0
"512","Dead","3ª class","male",35,0,0
"513","Survived","1ª class","male",36,0,0
"514","Survived","1ª class","female",54,1,0
"515","Dead","3ª class","male",24,0,0
"516","Dead","1ª class","male",47,0,0
"517","Survived","2ª class","female",34,0,0
"518","Dead","3ª class","male",35,0,0
"519","Survived","2ª class","female",36,1,0
"520","Dead","3ª class","male",32,0,0
"521","Survived","1ª class","female",30,0,0
"522","Dead","3ª class","male",22,0,0
"523","Dead","3ª class","male",35,0,0
"524","Survived","1ª class","female",44,0,1
"525","Dead","3ª class","male",35,0,0
"526","Dead","3ª class","male",40.5,0,0
"527","Survived","2ª class","female",50,0,0
"528","Dead","1ª class","male",35,0,0
"529","Dead","3ª class","male",39,0,0
"530","Dead","2ª class","male",23,2,1
"531","Survived","2ª class","female",2,1,1
"532","Dead","3ª class","male",35,0,0
"533","Dead","3ª class","male",17,1,1
"534","Survived","3ª class","female",19,0,2
"535","Dead","3ª class","female",30,0,0
"536","Survived","2ª class","female",7,0,2
"537","Dead","1ª class","male",45,0,0
"538","Survived","1ª class","female",30,0,0
"539","Dead","3ª class","male",35,0,0
"540","Survived","1ª class","female",22,0,2
"541","Survived","1ª class","female",36,0,2
"542","Dead","3ª class","female",9,4,2
"543","Dead","3ª class","female",11,4,2
"544","Survived","2ª class","male",32,1,0
"545","Dead","1ª class","male",50,1,0
"546","Dead","1ª class","male",64,0,0
"547","Survived","2ª class","female",19,1,0
"548","Survived","2ª class","male",55,0,0
"549","Dead","3ª class","male",33,1,1
"550","Survived","2ª class","male",8,1,1
"551","Survived","1ª class","male",17,0,2
"552","Dead","2ª class","male",27,0,0
"553","Dead","3ª class","male",35,0,0
"554","Survived","3ª class","male",22,0,0
"555","Survived","3ª class","female",22,0,0
"556","Dead","1ª class","male",62,0,0
"557","Survived","1ª class","female",48,1,0
"558","Dead","1ª class","male",35,0,0
"559","Survived","1ª class","female",39,1,1
"560","Survived","3ª class","female",36,1,0
"561","Dead","3ª class","male",35,0,0
"562","Dead","3ª class","male",40,0,0
"563","Dead","2ª class","male",28,0,0
"564","Dead","3ª class","male",35,0,0
"565","Dead","3ª class","female",35,0,0
"566","Dead","3ª class","male",24,2,0
"567","Dead","3ª class","male",19,0,0
"568","Dead","3ª class","female",29,0,4
"569","Dead","3ª class","male",35,0,0
"570","Survived","3ª class","male",32,0,0
"571","Survived","2ª class","male",62,0,0
"572","Survived","1ª class","female",53,2,0
"573","Survived","1ª class","male",36,0,0
"574","Survived","3ª class","female",55,0,0
"575","Dead","3ª class","male",16,0,0
"576","Dead","3ª class","male",19,0,0
"577","Survived","2ª class","female",34,0,0
"578","Survived","1ª class","female",39,1,0
"579","Dead","3ª class","female",28,1,0
"580","Survived","3ª class","male",32,0,0
"581","Survived","2ª class","female",25,1,1
"582","Survived","1ª class","female",39,1,1
"583","Dead","2ª class","male",54,0,0
"584","Dead","1ª class","male",36,0,0
"585","Dead","3ª class","male",35,0,0
"586","Survived","1ª class","female",18,0,2
"587","Dead","2ª class","male",47,0,0
"588","Survived","1ª class","male",60,1,1
"589","Dead","3ª class","male",22,0,0
"590","Dead","3ª class","male",35,0,0
"591","Dead","3ª class","male",35,0,0
"592","Survived","1ª class","female",52,1,0
"593","Dead","3ª class","male",47,0,0
"594","Dead","3ª class","female",40.5,0,2
"595","Dead","2ª class","male",37,1,0
"596","Dead","3ª class","male",36,1,1
"597","Survived","2ª class","female",55,0,0
"598","Dead","3ª class","male",49,0,0
"599","Dead","3ª class","male",35,0,0
"600","Survived","1ª class","male",49,1,0
"601","Survived","2ª class","female",24,2,1
"602","Dead","3ª class","male",35,0,0
"603","Dead","1ª class","male",35,0,0
"604","Dead","3ª class","male",44,0,0
"605","Survived","1ª class","male",35,0,0
"606","Dead","3ª class","male",36,1,0
"607","Dead","3ª class","male",30,0,0
"608","Survived","1ª class","male",27,0,0
"609","Survived","2ª class","female",22,1,2
"610","Survived","1ª class","female",40,0,0
"611","Dead","3ª class","female",39,1,5
"612","Dead","3ª class","male",35,0,0
"613","Survived","3ª class","female",35,1,0
"614","Dead","3ª class","male",35,0,0
"615","Dead","3ª class","male",35,0,0
"616","Survived","2ª class","female",24,1,2
"617","Dead","3ª class","male",34,1,1
"618","Dead","3ª class","female",26,1,0
"619","Survived","2ª class","female",4,2,1
"620","Dead","2ª class","male",26,0,0
"621","Dead","3ª class","male",27,1,0
"622","Survived","1ª class","male",42,1,0
"623","Survived","3ª class","male",20,1,1
"624","Dead","3ª class","male",21,0,0
"625","Dead","3ª class","male",21,0,0
"626","Dead","1ª class","male",61,0,0
"627","Dead","2ª class","male",57,0,0
"628","Survived","1ª class","female",21,0,0
"629","Dead","3ª class","male",26,0,0
"630","Dead","3ª class","male",35,0,0
"631","Survived","1ª class","male",80,0,0
"632","Dead","3ª class","male",51,0,0
"633","Survived","1ª class","male",32,0,0
"634","Dead","1ª class","male",35,0,0
"635","Dead","3ª class","female",9,3,2
"636","Survived","2ª class","female",28,0,0
"637","Dead","3ª class","male",32,0,0
"638","Dead","2ª class","male",31,1,1
"639","Dead","3ª class","female",41,0,5
"640","Dead","3ª class","male",28,1,0
"641","Dead","3ª class","male",20,0,0
"642","Survived","1ª class","female",24,0,0
"643","Dead","3ª class","female",2,3,2
"644","Survived","3ª class","male",55,0,0
"645","Survived","3ª class","female",0.75,2,1
"646","Survived","1ª class","male",48,1,0
"647","Dead","3ª class","male",19,0,0
"648","Survived","1ª class","male",56,0,0
"649","Dead","3ª class","male",35,0,0
"650","Survived","3ª class","female",23,0,0
"651","Dead","3ª class","male",35,0,0
"652","Survived","2ª class","female",18,0,1
"653","Dead","3ª class","male",21,0,0
"654","Survived","3ª class","female",55,0,0
"655","Dead","3ª class","female",18,0,0
"656","Dead","2ª class","male",24,2,0
"657","Dead","3ª class","male",35,0,0
"658","Dead","3ª class","female",32,1,1
"659","Dead","2ª class","male",23,0,0
"660","Dead","1ª class","male",58,0,2
"661","Survived","1ª class","male",50,2,0
"662","Dead","3ª class","male",40,0,0
"663","Dead","1ª class","male",47,0,0
"664","Dead","3ª class","male",36,0,0
"665","Survived","3ª class","male",20,1,0
"666","Dead","2ª class","male",32,2,0
"667","Dead","2ª class","male",25,0,0
"668","Dead","3ª class","male",35,0,0
"669","Dead","3ª class","male",43,0,0
"670","Survived","1ª class","female",35,1,0
"671","Survived","2ª class","female",40,1,1
"672","Dead","1ª class","male",31,1,0
"673","Dead","2ª class","male",70,0,0
"674","Survived","2ª class","male",31,0,0
"675","Dead","2ª class","male",35,0,0
"676","Dead","3ª class","male",18,0,0
"677","Dead","3ª class","male",24.5,0,0
"678","Survived","3ª class","female",18,0,0
"679","Dead","3ª class","female",43,1,6
"680","Survived","1ª class","male",36,0,1
"681","Dead","3ª class","female",35,0,0
"682","Survived","1ª class","male",27,0,0
"683","Dead","3ª class","male",20,0,0
"684","Dead","3ª class","male",14,5,2
"685","Dead","2ª class","male",60,1,1
"686","Dead","2ª class","male",25,1,2
"687","Dead","3ª class","male",14,4,1
"688","Dead","3ª class","male",19,0,0
"689","Dead","3ª class","male",18,0,0
"690","Survived","1ª class","female",15,0,1
"691","Survived","1ª class","male",31,1,0
"692","Survived","3ª class","female",4,0,1
"693","Survived","3ª class","male",55,0,0
"694","Dead","3ª class","male",25,0,0
"695","Dead","1ª class","male",60,0,0
